[2026-06-27T10:05:10.287Z] ========================================
[2026-06-27T10:05:10.291Z]   智能上传脚本 v2（单张·随机间隔）
[2026-06-27T10:05:10.292Z] ========================================
[2026-06-27T10:05:10.299Z] 总图片: 3891 | 已上传: 1002 | 待上传: 2889
[2026-06-27T10:24:22.494Z] [110/2889] 3.8% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_87.jpg | S:110 F:0 | 1147s
[2026-06-27T10:24:34.377Z] [111/2889] 3.8% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_88.jpg | S:111 F:0 | 1156s
[2026-06-27T10:24:44.287Z] [112/2889] 3.8% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_89.jpg | S:112 F:0 | 1169s
[2026-06-27T10:24:55.803Z] [113/2889] 3.9% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_90.jpg | S:113 F:0 | 1179s
[2026-06-27T10:25:05.339Z] [114/2889] 3.9% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_91.jpg | S:114 F:0 | 1190s
[2026-06-27T10:25:13.207Z] [115/2889] 3.9% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_93.jpg | S:115 F:0 | 1199s
[2026-06-27T10:25:23.840Z] [116/2889] 4.0% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_94.jpg | S:116 F:0 | 1207s
[2026-06-27T10:25:37.760Z] [117/2889] 4.0% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_95.jpg | S:117 F:0 | 1221s
[2026-06-27T10:25:50.804Z] [118/2889] 4.0% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_97.jpg | S:118 F:0 | 1234s
[2026-06-27T10:25:58.339Z] [119/2889] 4.1% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_98.jpg | S:119 F:0 | 1244s
[2026-06-27T10:26:12.473Z] [120/2889] 4.1% ✓ 假期年味京韵初二学子用三种方式把冬天过成了诗_99.jpg | S:120 F:0 | 1256s
[2026-06-27T10:26:23.584Z] [121/2889] 4.2% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_0.jpg | S:121 F:0 | 1268s
[2026-06-27T10:26:36.406Z] [122/2889] 4.2% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_16.jpg | S:122 F:0 | 1280s
[2026-06-27T10:26:48.717Z] [123/2889] 4.2% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_19.jpg | S:123 F:0 | 1292s
[2026-06-27T10:26:59.677Z] [124/2889] 4.3% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_20.jpg | S:124 F:0 | 1303s
[2026-06-27T10:27:06.068Z] [125/2889] 4.3% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_22.jpg | S:125 F:0 | 1312s
[2026-06-27T10:27:20.248Z] [126/2889] 4.3% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_24.jpg | S:126 F:0 | 1324s
[2026-06-27T10:27:31.319Z] [127/2889] 4.4% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_26.jpg | S:127 F:0 | 1335s
[2026-06-27T10:27:42.027Z] [128/2889] 4.4% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_27.jpg | S:128 F:0 | 1345s
[2026-06-27T10:27:49.850Z] [129/2889] 4.4% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_28.jpg | S:129 F:0 | 1356s
[2026-06-27T10:28:02.694Z] [130/2889] 4.5% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_30.jpg | S:130 F:0 | 1366s
[2026-06-27T10:28:13.302Z] [131/2889] 4.5% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_32.jpg | S:131 F:0 | 1377s
[2026-06-27T10:28:27.169Z] [132/2889] 4.5% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_34.jpg | S:132 F:0 | 1390s
[2026-06-27T10:28:40.939Z] [133/2889] 4.6% ✓ 健康第一从开学第一课开始各年级体育开学第一课精彩集锦_35.jpg | S:133 F:0 | 1403s
[2026-06-27T10:28:47.260Z] [134/2889] 4.6% ✓ 党心凝聚集思研益第68次教师专业培训活动_0.jpg | S:134 F:0 | 1414s
[2026-06-27T10:28:57.949Z] [135/2889] 4.6% ✓ 党心凝聚集思研益第68次教师专业培训活动_15.jpg | S:135 F:0 | 1423s
[2026-06-27T10:29:07.022Z] [136/2889] 4.7% ✓ 党心凝聚集思研益第68次教师专业培训活动_26.jpg | S:136 F:0 | 1432s
[2026-06-27T10:29:13.408Z] [137/2889] 4.7% ✓ 党心凝聚集思研益第68次教师专业培训活动_28.jpg | S:137 F:0 | 1440s
[2026-06-27T10:29:25.642Z] [138/2889] 4.7% ✓ 党心凝聚集思研益第68次教师专业培训活动_32.jpg | S:138 F:0 | 1450s
[2026-06-27T10:29:35.015Z] [139/2889] 4.8% ✓ 党心凝聚集思研益第68次教师专业培训活动_37.jpg | S:139 F:0 | 1460s
[2026-06-27T10:29:48.343Z] [140/2889] 4.8% ✓ 党心凝聚集思研益第68次教师专业培训活动_51.jpg | S:140 F:0 | 1472s
[2026-06-27T10:29:58.258Z] [141/2889] 4.8% ✓ 党心凝聚集思研益第68次教师专业培训活动_58.jpg | S:141 F:0 | 1483s
